Episode,Weights
30,"[[[-4.22354387 -1.11031461 -3.69629606 -2.42061712]
  [-2.21737744  0.54184432 -2.35541218 -1.4427129 ]
  [-1.37065614  2.83324031 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  5.75126777]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751  9.66258232]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         14.78967027]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 19.40796491 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.17635996]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
31,"[[[-4.22354387 -0.86212076 -3.69629606 -2.42061712]
  [-2.21737744  0.89406138 -2.35541218 -1.4427129 ]
  [-1.37065614  3.27992089 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  6.29625773]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 10.22531902]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         15.1574893 ]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 19.66617447 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.29990597]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
32,"[[[-4.22354387 -0.60149376 -3.69629606 -2.42061712]
  [-2.21737744  1.25097382 -2.35541218 -1.4427129 ]
  [-1.37065614  3.72043717 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  6.81294576]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 10.73800484]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         15.49131732]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 19.89399195 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.40492007]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
33,"[[[-4.22354387 -0.33100593 -3.69629606 -2.42061712]
  [-2.21737744  1.60960115 -2.35541218 -1.4427129 ]
  [-1.37065614  4.15158024 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  7.30063681]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 11.20467654]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         15.79363863]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 20.09472526 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.49418206]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
34,"[[[-4.22354387 -0.05311451 -3.69629606 -2.42061712]
  [-2.21737744  1.96725532 -2.35541218 -1.4427129 ]
  [-1.37065614  4.57076028 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  7.75915038]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 11.62907154]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         16.06687257]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 20.27137376 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.57005475]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
35,"[[[-4.22354387  0.22986403 -3.69629606 -2.42061712]
  [-2.21737744  2.32154842 -2.35541218 -1.4427129 ]
  [-1.37065614  4.9759353  -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  8.1887143 ]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 12.01465338]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         16.31334983]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 20.42664639 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.63454654]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
36,"[[[-4.22354387  0.51577284 -3.69629606 -2.42061712]
  [-2.21737744  2.67039148 -2.35541218 -1.4427129 ]
  [-1.37065614  5.36554431 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  8.58987623]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 12.36463307]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         16.53529534]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 20.56298133 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.68936456]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
37,"[[[-4.22354387  0.80262756 -3.69629606 -2.42061712]
  [-2.21737744  3.01198658 -2.35541218 -1.4427129 ]
  [-1.37065614  5.73844506 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  8.9634298 ]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 12.68198761]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         16.73481672]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 20.68256624 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.73595988]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
38,"[[[-4.22354387  1.08862396 -3.69629606 -2.42061712]
  [-2.21737744  3.34481402 -2.35541218 -1.4427129 ]
  [-1.37065614  6.09385695 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  9.31035341]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 12.96947595]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         16.91389722]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 20.78735859 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.77556589]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
39,"[[[-4.22354387  1.37214113 -3.69629606 -2.42061712]
  [-2.21737744  3.66761597 -2.35541218 -1.4427129 ]
  [-1.37065614  6.43130886 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  9.6317595 ]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 13.2296534 ]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         17.07439215]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 20.8791055  -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.80923101]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
40,"[[[-4.22354387  1.6517409  -3.69629606 -2.42061712]
  [-2.21737744  3.97937771 -2.35541218 -1.4427129 ]
  [-1.37065614  6.75059206 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891  9.92885283]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 13.46488462]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         17.21802834]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 20.95936277 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.83784636]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
41,"[[[-4.22354387  1.92616422 -3.69629606 -2.42061712]
  [-2.21737744  4.27930762 -2.35541218 -1.4427129 ]
  [-1.37065614  7.05171792 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891 10.20289625]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 13.67735554]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         17.34640566]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 21.02951298 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.8621694 ]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
42,"[[[-4.22354387  2.19432508 -3.69629606 -2.42061712]
  [-2.21737744  4.56681642 -2.35541218 -1.4427129 ]
  [-1.37065614  7.33488021 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891 10.45518288]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 13.86908458]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         17.46100033]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 21.09078247 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.88284399]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
43,"[[[-4.22354387  2.45530255 -3.69629606 -2.42061712]
  [-2.21737744  4.84149647 -2.35541218 -1.4427129 ]
  [-1.37065614  7.60042173 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891 10.68701368]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 14.04193306]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         17.56316949]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 21.14425707 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.90041739]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
44,"[[[-4.22354387  2.70833141 -3.69629606 -2.42061712]
  [-2.21737744  5.10310139 -2.35541218 -1.4427129 ]
  [-1.37065614  7.84880495 -1.79462126 -0.27754165]
  [-0.95900377 -0.31421956 -0.87283891 10.89967954]
  [-0.36493234  0.          0.          0.        ]]

 [[-3.17504428 -1.25437038 -1.93569218 -2.04817603]
  [-1.69801284 -0.51579352 -1.30463398 -0.31312989]
  [-0.64423576 -0.25712617 -0.61876458  1.3216292 ]
  [-0.32701328 -0.32273595 -0.54277751 14.19761518]
  [-0.45313909  0.          0.         -0.23648315]]

 [[-1.63012093 -0.90793815 -1.29221046 -0.97043559]
  [-0.88334991  0.55156047 -0.89804137  0.55700725]
  [-0.51932422  5.03128499 -0.49352645 -0.26799759]
  [-0.27059892 -0.83100218  0.         17.6541566 ]
  [-0.44939372 -2.02327457 -0.40360218 -0.53471198]]

 [[-1.70519201 -0.70194932 -0.50424698  0.09988223]
  [-0.46445879 -0.27700275 -0.3889018   2.54712652]
  [-0.26221687  0.67943891 -0.18832841  0.        ]
  [-0.03235958 21.19089668 -0.45005839  0.        ]
  [-0.23314557 -0.85491551 -0.35222717 24.91535479]]

 [[-0.97579535  1.94599921 -0.62089751 -0.57028136]
  [-0.42940388  7.36389331 -0.27293012  0.        ]
  [ 0.         12.38178581  0.          0.        ]
  [ 0.         19.20957634  0.          0.        ]
  [ 0.          0.          0.          0.        ]]]"
